Program+Function,num_workers,CPU%,MEM%,Disk_Read_kBps,Disk_Write_kBps,Disk_Util%,Exec_Time_sec
A+cpu,2,48.8027,4.91776,0.0796552,6.4431,0.052069,4.64
A+cpu,3,47.7907,4.79126,0.0796552,6.4431,0.0382759,7.19
A+cpu,4,47.0419,4.70406,0.0796552,6.4431,0.0382759,9.30
A+cpu,5,46.0201,4.62411,0.0796552,6.4431,0.0796552,9.32
A+mem,2,48.7236,4.92014,0.0796552,6.4431,0.052069,27.29
A+mem,3,47.6162,4.93272,0.0796552,6.43517,0.0382759,42.04
A+mem,4,46.611,4.84984,0.0796552,6.43517,0.0517241,57.01
A+mem,5,45.7182,4.77545,0.0796552,6.43517,0.0517241,70.46
A+io,2,47.0922,5.63149,0.0796552,6.43517,15.9624,24.02
A+io,3,46.1728,6.72762,0.0796552,6.43517,15.6679,29.14
A+io,4,45.0227,7.41662,0.0796552,6.43517,17.0379,39.30
A+io,5,44.3086,8.25242,0.0796552,6.43517,16.8462,34.39
B+cpu,2,50.9612,10.0028,0.0796552,6.43517,0.0355172,2.44
B+cpu,3,50.819,9.89268,0.0796552,6.43517,0.0768966,7.08
B+cpu,4,50.6754,9.89049,0.0796552,6.43517,0.0627586,9.50
B+cpu,5,50.7285,9.88961,0.0796552,6.43517,0.0493103,9.42
B+cpu,6,50.7289,9.8912,0.0796552,6.43517,0.0631034,14.05
B+cpu,7,50.682,9.90106,0.0796552,6.43517,0.0486207,16.32
B+cpu,8,50.6542,9.90986,0.0796552,6.43517,0.0631034,17.03
B+mem,2,50.6021,9.92595,0.0796552,6.43517,0.0627586,26.34
B+mem,3,50.5965,9.98732,0.0796552,6.43517,0.0617241,41.03
B+mem,4,50.4933,9.97651,0.0796552,6.43517,0.062069,53.39
B+mem,5,50.4014,9.98197,0.0796552,6.43517,0.0486207,67.88
B+mem,6,50.3426,9.99965,0.0796552,6.43517,0.0624138,80.80
B+mem,7,50.1722,10.0195,0.0796552,6.43517,0.0617241,93.87
B+mem,8,50.2067,10.0451,0.0796552,6.43517,0.0624138,106.69
B+io,2,48.9201,11.1568,0.0796552,6.43483,15.2879,24.44
B+io,3,48.962,11.8658,0.0796552,6.43483,16.2917,24.29
B+io,4,48.9817,12.9237,0.0796552,6.43483,16.9355,29.69
B+io,5,48.9317,13.8676,0.0796552,6.43483,16.6841,32.74
B+io,6,48.8778,14.2237,0.0796552,6.43483,16.72,38.37
B+io,7,48.9123,15.4104,0.0796552,6.43483,16.6576,38.46
B+io,8,48.9923,16.3458,0.0796552,6.43483,16.5062,80.43
